COMBOKEY,SCH_NAME,LEA_NAME,JJ,school_year,SCH_FIREARM_IND,SCH_HOMICIDE_IND,SCH_OFFENSE_RAPE,SCH_OFFENSE_BATT,SCH_OFFENSE_ROBWW,SCH_OFFENSE_ROBWOW,SCH_OFFENSE_ATTWW,SCH_OFFENSE_ATTWOW,SCH_OFFENSE_THRWW,SCH_OFFENSE_THRWOW,SCH_OFFENSE_POSSWX,Check
360000204500,SAUQUOIT VALLEY HIGH SCHOOL,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000204500
360000204541,SAUQUOIT VALLEY ELEMENTARY SCHOOL,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000204541
360000204761,SAUQUOIT VALLEY MIDDLE SCHOOL,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000204761
360000304542,EDWARDS-KNOX ELEMENTARY SCHOOL,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000304542
360000304543,EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000304543
360000404544,DRAPER MIDDLE SCHOOL,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000404544
360000404545,MOHONASEN SENIOR HIGH SCHOOL,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,4,0,0,0,27,0,0,0,360000404545
360000404576,HERMAN L BRADT ELEMENTARY SCHOOL,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000404576
360000404577,PINEWOOD ELEMENTARY SCHOOL,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000404577
360000500282,BROADALBIN-PERTH HIGH SCHOOL,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,3,0,0,0,360000500282
360000504421,BROADALBIN-PERTH INTERMEDIATE SCHOOL,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000504421
360000600525,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,No,17-18,No,No,0,0,0,0,0,0,0,0,0,360000600525
