COMBOKEY,SCH_NAME,LEA_NAME,JJ,school_year,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC,Check
360000104498,James A Green High School,Dolgeville Central School District,No,20-21,21,21,0,1,1,0,1,1,0,360000104498
360000104540,Dolgeville Elementary School,Dolgeville Central School District,No,20-21,21,21,0,1,0.33,0,1,1,0,360000104540
360000204500,Sauquoit Valley High School,Sauquoit Valley Central School District,No,20-21,24.5,24.5,0,2,0,1,1,0.3,0.5,360000204500
360000204541,Sauquoit Valley Elementary School,Sauquoit Valley Central School District,No,20-21,27.6,27.6,0,0,0,1,1,0.4,1,360000204541
360000204761,Sauquoit Valley Middle School,Sauquoit Valley Central School District,No,20-21,24.9,24.9,0,1,0,1,1,0.3,0.5,360000204761
360000304542,Edwards-Knox Elementary School,Edwards-Knox Central School District,No,20-21,31,30,1,1.5,0,0,1,1,0,360000304542
360000304543,Edwards-Knox Junior-Senior High School,Edwards-Knox Central School District,No,20-21,24,22,2,1.5,0,0,1,1,0,360000304543
360000404544,Draper Middle School,Rotterdam-Mohonasen Central School District,No,20-21,60.4,60.4,0,3,0,5,1.5,1,1.1,360000404544
360000404545,Mohonasen Senior High School,Rotterdam-Mohonasen Central School District,No,20-21,69.6,69.6,0,4,1,7,2,1,3.1,360000404545
360000404576,Herman L Bradt Elementary School,Rotterdam-Mohonasen Central School District,No,20-21,48.5,48.5,0,1,0,1,2,1,0.4,360000404576
360000404577,Pinewood Elementary School,Rotterdam-Mohonasen Central School District,No,20-21,49.1,49.1,0,1,0,1,1.5,1,0.8,360000404577
360000500282,Broadalbin-Perth Junior-Senior High School,Broadalbin-Perth Central School District,No,20-21,67,66,1,4,0,0,2,1,1,360000500282
360000504421,Broadalbin-Perth Elementary School,Broadalbin-Perth Central School District,No,20-21,69,69,0,1,0,0,2,1,2,360000504421
360000600525,Cherry Valley-Springfield Central School,Cherry Valley-Springfield Central School District,No,20-21,48,48,0,2,0,0,1,0.2,0,360000600525
360000701357,Jasper-Troupsburg Junior-Senior High School,Jasper-Troupsburg Central School District,No,20-21,24,22,2,0.5,0.5,0,1,0.5,0,360000701357
360000703911,Jasper-Troupsburg Elementary School,Jasper-Troupsburg Central School District,No,20-21,25,24,1,0.5,0.5,0,1,0.5,0,360000703911
360000800192,Bellport Middle School,South Country Central School District,No,20-21,104,104,0,4,0,9,1,2,4,360000800192
360000800193,Bellport Senior High School,South Country Central School District,No,20-21,128,128,0,5,0,14,1,2,5,360000800193
360000800194,Brookhaven Elementary School,South Country Central School District,No,20-21,56,56,0,0,0,2,1,1,1.5,360000800194
360000800195,Frank P Long Intermediate School,South Country Central School District,No,20-21,49,49,0,0,0,3,1,1,2,360000800195
360000800196,Kreamer Street Elementary School,South Country Central School District,No,20-21,36,36,0,0,0,2,1,1,1,360000800196
360000800197,Verne W Critz Elementary School,South Country Central School District,No,20-21,37,37,0,0,0,2,1,1,1.5,360000800197
360000904666,Morrisonville Elementary School,Saranac Central School District,No,20-21,48,48,0,1,0,0,1,1,0,360000904666
360000904668,Saranac Elementary School,Saranac Central School District,No,20-21,43,43,0,1,0,0,1,1,0,360000904668
360000904669,Saranac High School,Saranac Central School District,No,20-21,48,48,0,2,0,0,1,1,0,360000904669
360000904670,Saranac Middle School,Saranac Central School District,No,20-21,41,40,1,2,0,0,1,1,0,360000904670
360001000277,William H Golding Middle School,Cobleskill-Richmondville Central School District,No,20-21,30.04,30.04,0,2,0,0,1,0,0,360001000277
360001000564,George D Ryder Elementary School,Cobleskill-Richmondville Central School District,No,20-21,31.25,31.25,0,1,0,0,1,4,0,360001000564
360001000566,Cobleskill-Richmondville High School,Cobleskill-Richmondville Central School District,No,20-21,48,48,0,3,0,0,1,0,0,360001000566
360001001014,Joseph B Radez Elementary School,Cobleskill-Richmondville Central School District,No,20-21,35,35,0,2,0,0,1,1,0,360001001014
360001101020,Wayland-Cohocton High School,Wayland-Cohocton Central School District,No,20-21,43,43,0,4,0,1,1,1,1,360001101020
360001101026,Wayland Elementary School,Wayland-Cohocton Central School District,No,20-21,56,56,0,1,0,0.25,1,1,3,360001101026
360001101042,Wayland-Cohocton Middle School,Wayland-Cohocton Central School District,No,20-21,42,42,0,1,0,1,1,1,1,360001101042
360001101445,Cohocton Elementary School,Wayland-Cohocton Central School District,No,20-21,2,2,0,0,0,0.2,1,0,0,360001101445
360001201092,Bolivar-Richburg Junior-Senior High School,Bolivar-Richburg Central School District,No,20-21,41,40,1,2,0.5,0,1,1,0.5,360001201092
360001201101,Bolivar-Richburg Elementary School,Bolivar-Richburg Central School District,No,20-21,39,39,0,1,0.5,0,1,0.5,0.5,360001201101
360001201103,Bolivar-Richburg Pre-K Program,Bolivar-Richburg Central School District,No,20-21,1,1,0,0.25,0,0,0.25,0.25,0,360001201103
360001301154,Durhamville School,Oneida City School District,No,20-21,21,21,0,0.25,0,0,1,0.17,0,360001301154
360001301160,North Broad Street School,Oneida City School District,No,20-21,18,18,0,0.3,0,0,1,0,0,360001301160
360001301167,Seneca Street School,Oneida City School District,No,20-21,19,19,0,0,0,0,1,0,0,360001301167
360001301171,W F Prior Elementary School,Oneida City School District,No,20-21,18,18,0,0,0,0,0,0,0,360001301171
360001301176,Otto L Shortell Middle School,Oneida City School District,No,20-21,43,43,0,1,0,0,1,0,0,360001301176
360001301199,Oneida Senior High School,Oneida City School District,No,20-21,51,51,0,3,0,0,1,0,1,360001301199
360001401425,Waterloo High School,Waterloo Central School District,No,20-21,47,47,0,3,0.25,0,1,0.5,0.5,360001401425
360001401428,La Fayette School,Waterloo Central School District,No,20-21,34.5,34.5,0,1,0.25,0,1,0.5,1,360001401428
360001401431,Waterloo Middle School,Waterloo Central School District,No,20-21,36,36,0,2,0.25,0,1,0.5,0.5,360001401431
360001401442,Skoi-Yase School,Waterloo Central School District,No,20-21,36.5,36.5,0,1,0.25,0,1,0.5,1,360001401442
360001500052,Allegany-Limestone Elementary School,Allegany-Limestone Central School District,No,20-21,43,43,0,1,1,0,1,1,0,360001500052
360001500053,Allegany-Limestone Middle-High School,Allegany-Limestone Central School District,No,20-21,104,104,0,4,1,0,1,1,0,360001500053
360001600110,Algonquin Middle School,Averill Park Central School District,No,20-21,61,61,0,2,0,0,1,1,1,360001600110
360001600111,Averill Park High School,Averill Park Central School District,No,20-21,70,70,0,4,1,1,1,2,0,360001600111
360001600113,Poestenkill Elementary School,Averill Park Central School District,No,20-21,27,27,0,1,0,0,1,1,0,360001600113
360001600114,Miller Hill School,Averill Park Central School District,No,20-21,32,32,0,0,0,0,1,2,0,360001600114
360001600115,West Sand Lake Elementary School,Averill Park Central School District,No,20-21,33,33,0,1,0,0,1,1,0,360001600115
360001701925,Genesee Valley Central School,Genesee Valley Central School District,No,20-21,62,58,4,2,0,1,2,1,1,360001701925
360001801936,Chautauqua Lake Secondary School,Chautauqua Lake Central School District,No,20-21,45,45,0,2,0,0,1,0.5,0,360001801936
360001801938,Chautauqua Lake Elementary School,Chautauqua Lake Central School District,No,20-21,37,37,0,2,0,0,1,0.5,0,360001801938
360001901976,Unadilla Valley Secondary School,Unadilla Valley Central School District,No,20-21,41,41,0,2,0.5,0,1,1,0.5,360001901976
360001906369,Unadilla Valley Elementary School,Unadilla Valley Central School District,No,20-21,35.5,35.5,0,1,0.5,0,1,1,0.5,360001906369
360002000325,Campbell-Savona Elementary School,Campbell-Savona Central School District,No,20-21,41,41,0,1,1,0,1,1,1,360002000325
360002000326,Campbell-Savona Junior/Senior High School,Campbell-Savona Central School District,No,20-21,38,38,0,2,1,0,1,1,1,360002000326
360002101704,Mattituck Junior-Senior High School,Mattituck-Cutchogue Union Free School District,No,20-21,62.2,62.2,0,3,0,4,1,1,1,360002101704
360002101705,Mattituck-Cutchogue Elementary School,Mattituck-Cutchogue Union Free School District,No,20-21,57.5,57.5,0,1,0,2,1,1,0.5,360002101705
360002301358,Sullivan West High School At Lake Huntington,Sullivan West Central School District,No,20-21,54.8,51.6,3.2,3,1,0,1,1.5,2,360002301358
360002301493,Sullivan West Elementary School,Sullivan West Central School District,No,20-21,53,49.6,4,1,1,0,1,0.5,2,360002301493
360002404322,Cattaraugus-Little Valley Elementary School,Cattaraugus-Little Valley Central School District,No,20-21,36,36,0,1,0.33,0,1,0,0,360002404322
360002404324,Cattaraugus-Little Valley High School,Cattaraugus-Little Valley Central School District,No,20-21,23,23,0,2,0.33,0,1,1,1,360002404324
360002404857,Cattaraugus-Little Valley Middle School,Cattaraugus-Little Valley Central School District,No,20-21,22,22,0,2,0.33,0,1,1,1,360002404857
360002504349,Charter School For Applied Technologies,Charter School For Applied Technologies,No,20-21,180,166,14,12,0,0,2,0,6,360002504349
360002604363,Eugenio Maria De Hostos Charter School,Eugenio Maria De Hostos Charter School,No,20-21,90,59,31,2,0,6,3,0,5,360002604363
360002904376,Genesee Community Charter School,Genesee Community Charter School,No,20-21,18.5,16.5,2,0,0,0,0,0,0.75,360002904376
360003004379,Roosevelt Children's Academy Charter School,Roosevelt Children's Academy Charter School,No,20-21,55,49,6,2,0,3,2,0,0,360003004379
