NCESSCH,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,PHONE,CHARTER_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,LATCOD,LONCOD
360000104498,3600001,NY-211003040000,DOLGEVILLE CENTRAL SCHOOL DISTRICT,JAMES A GREEN JUNIOR-SENIOR HIGH SCHOOL,38 SLAWSON ST,DOLGEVILLE,NY,13329,(315)429-3155,No,Not Virtual,7,12,High,Regular School,Currently operational,42-Rural: Distant,Herkimer County,43.104,-74.779
360000104540,3600001,NY-211003040000,DOLGEVILLE CENTRAL SCHOOL DISTRICT,DOLGEVILLE ELEMENTARY SCHOOL,38 SLAWSON ST,DOLGEVILLE,NY,13329,(315)429-3155,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,42-Rural: Distant,Herkimer County,43.104,-74.779
360000204500,3600002,NY-411603040000,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,SAUQUOIT VALLEY HIGH SCHOOL,2601 ONEIDA ST,SAUQUOIT,NY,13456,(315)839-6316,No,Not Virtual,9,12,High,Regular School,Currently operational,41-Rural: Fringe,Oneida County,42.9879,-75.2545
360000204541,3600002,NY-411603040000,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,SAUQUOIT VALLEY ELEMENTARY SCHOOL,2640 SULPHUR SPRINGS RD,SAUQUOIT,NY,13456,(315)839-6339,No,Not Virtual,PK,4,Elementary,Regular School,Currently operational,41-Rural: Fringe,Oneida County,42.990354,-75.257125
360000204761,3600002,NY-411603040000,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,SAUQUOIT VALLEY MIDDLE SCHOOL,2648 SULPHUR SPRINGS RD,SAUQUOIT,NY,13456,(315)839-6371,No,Not Virtual,5,8,Middle,Regular School,Currently operational,41-Rural: Fringe,Oneida County,42.991732,-75.256339
360000304542,3600003,NY-513102040000,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,EDWARDS-KNOX ELEMENTARY SCHOOL,2512 COUNTY ROUTE 24,HERMON,NY,13652,(315)562-8132,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,43-Rural: Remote,St. Lawrence County,44.363946,-75.201145
360000304543,3600003,NY-513102040000,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,2512 COUNTY ROUTE 24,HERMON,NY,13652,(315)562-8131,No,Not Virtual,7,12,High,Regular School,Currently operational,43-Rural: Remote,St. Lawrence County,44.363946,-75.201145
360000404544,3600004,NY-530515060000,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,DRAPER MIDDLE SCHOOL,2070 CURRY RD,SCHENECTADY,NY,12303,(518)356-8350,No,Not Virtual,6,8,Middle,Regular School,Currently operational,21-Suburb: Large,Schenectady County,42.770651,-73.956305
360000404545,3600004,NY-530515060000,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,MOHONASEN SENIOR HIGH SCHOOL,2072 CURRY RD,SCHENECTADY,NY,12303,(518)356-8300,No,Not Virtual,9,12,High,Regular School,Currently operational,21-Suburb: Large,Schenectady County,42.768878,-73.956954
360000404576,3600004,NY-530515060000,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,HERMAN L BRADT ELEMENTARY SCHOOL,2719 HAMBURG ST,SCHENECTADY,NY,12303,(518)356-8400,No,Not Virtual,KG,2,Elementary,Regular School,Currently operational,21-Suburb: Large,Schenectady County,42.7721,-73.934
360000404577,3600004,NY-530515060000,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,PINEWOOD ELEMENTARY SCHOOL,901 KINGS RD,SCHENECTADY,NY,12303,(518)356-8430,No,Not Virtual,3,5,Elementary,Regular School,Currently operational,21-Suburb: Large,Schenectady County,42.7639,-73.9177
360000500282,3600005,NY-171102040000,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,BROADALBIN-PERTH JUNIOR-SENIOR HIGH SCHOOL,100 BRIDGE ST,BROADALBIN,NY,12025,(518)954-2600,No,Not Virtual,7,12,High,Regular School,Currently operational,42-Rural: Distant,Fulton County,43.0546,-74.1888
360000504421,3600005,NY-171102040000,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,BROADALBIN-PERTH ELEMENTARY SCHOOL,1870 COUNTY HWY 107,AMSTERDAM,NY,12010,(518)954-2700,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,42-Rural: Distant,Fulton County,43.0178,-74.1895
360000600525,3600006,NY-472202040000,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,(607)264-3265,No,Not Virtual,PK,12,Other,Regular School,Currently operational,42-Rural: Distant,Otsego County,42.8172,-74.7682
360000701357,3600007,NY-572702040000,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL,2661 ST RTE 248,GREENWOOD,NY,14839,(607)792-3675,No,Not Virtual,7,12,High,Regular School,Currently operational,43-Rural: Remote,Steuben County,42.133095,-77.650757
360000703911,3600007,NY-572702040000,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,JASPER-TROUPSBURG ELEMENTARY SCHOOL,908 STATE RT 36,TROUPSBURG,NY,14885,(607)525-6301,No,Not Virtual,KG,6,Elementary,Regular School,Currently operational,43-Rural: Remote,Steuben County,42.0458,-77.5458
